Model,Accuracy,F1-Score,ROC AUC
Logistic Regression,0.8044692737430168,0.7244094488188977,0.8432147562582345
KNN (Optimized),0.8212290502793296,0.75,0.8478260869565217
Decision Tree (Pruned),0.7597765363128491,0.6504065040650406,0.7891304347826088
